symbol,tv_ticker,sector,industry,description,grade,pass_tf,on_list,w1_score,d1_score,score,price,note
LUV,NYSE:LUV,Transportation,Airlines,Southwest Airlines Company,B,,False,0,2,2,48.57,W1 0/3：未達 | D1 2/3：量價配合
MARA,NASDAQ:MARA,Technology services,Data processing services,"MARA Holdings, Inc.",B,,False,0,2,2,14.85,W1 0/3：未達 | D1 2/3：量價配合
MDA,NYSE:MDA,Electronic technology,Electronic production equipment,MDA Space Ltd.,B,,False,0,2,2,39.39,D1 2/3：量價配合
MLI,NYSE:MLI,Producer manufacturing,Metal fabrication,"Mueller Industries, Inc.",C,,False,1,1,2,139.51,W1 1/3：MA轉上 | D1 1/3：MA轉上
MTH,NYSE:MTH,Finance,Real estate development,Meritage Homes Corporation,B,,False,2,0,2,75.08,W1 2/3：量價配合 | D1 0/3：未達
MXL,NASDAQ:MXL,Electronic technology,Semiconductors,"MaxLinear, Inc",B,,False,2,0,2,96.44,W1 2/3：量價配合 | D1 0/3：未達
MYRG,NASDAQ:MYRG,Industrial services,Engineering & construction,"MYR Group, Inc.",B,,False,0,2,2,483.08,W1 0/3：未達 | D1 2/3：量價配合
NBIS,NASDAQ:NBIS,Technology services,Packaged software,Nebius Group N.V.,B,,False,2,0,2,283.61,W1 2/3：量價配合 | D1 0/3：未達
NTLA,NASDAQ:NTLA,Health technology,Biotechnology,"Intellia Therapeutics, Inc.",B,,False,0,2,2,15.75,W1 0/3：未達 | D1 2/3：量價配合
NWG,NYSE:NWG,Finance,Major banks,NatWest Group plc,B,,False,2,0,2,17.51,W1 2/3：量價配合 | D1 0/3：未達
ONTO,NYSE:ONTO,Electronic technology,Electronic equipment/Instruments,Onto Innovation Inc.,B,,False,0,2,2,347.87,W1 0/3：未達 | D1 2/3：量價配合
OUST,NASDAQ:OUST,Electronic technology,Semiconductors,"Ouster, Inc.",B,,False,0,2,2,47.68,W1 0/3：未達 | D1 2/3：量價配合
PANW,NASDAQ:PANW,Technology services,Packaged software,"Palo Alto Networks, Inc.",B,,False,0,2,2,286.4,W1 0/3：未達 | D1 2/3：量價配合
PAYO,NASDAQ:PAYO,Commercial services,Miscellaneous commercial services,Payoneer Global Inc.,B,,False,0,2,2,7.02,W1 0/3：未達 | D1 2/3：量價配合
POWI,NASDAQ:POWI,Electronic technology,Semiconductors,"Power Integrations, Inc.",B,,False,2,0,2,87.35,W1 2/3：量價配合 | D1 0/3：未達
POWL,NASDAQ:POWL,Producer manufacturing,Electrical products,"Powell Industries, Inc.",B,,False,2,0,2,307.8,W1 2/3：量價配合 | D1 0/3：未達
QBTS,NYSE:QBTS,Electronic technology,Computer processing hardware,D-Wave Quantum Inc.,B,,False,0,2,2,24.47,W1 0/3：未達 | D1 2/3：量價配合
QRVO,NASDAQ:QRVO,Electronic technology,Semiconductors,"Qorvo, Inc.",B,,False,0,2,2,101.98,W1 0/3：未達 | D1 2/3：量價配合
RELY,NASDAQ:RELY,Commercial services,Miscellaneous commercial services,"Remitly Global, Inc.",B,,False,0,2,2,20.66,W1 0/3：未達 | D1 2/3：量價配合
RIOT,NASDAQ:RIOT,Technology services,Information technology services,"Riot Platforms, Inc.",B,,False,2,0,2,28.63,W1 2/3：量價配合 | D1 0/3：未達
ROK,NYSE:ROK,Producer manufacturing,Electrical products,"Rockwell Automation, Inc.",C,,False,1,1,2,478.08,W1 1/3：MA轉上 | D1 1/3：跌K量低
SKY,NYSE:SKY,Consumer durables,Homebuilding,"Champion Homes, Inc.",B,,False,2,0,2,81.95,W1 2/3：量價配合 | D1 0/3：未達
SMTC,NASDAQ:SMTC,Electronic technology,Semiconductors,Semtech Corporation,B,,False,0,2,2,174.73,W1 0/3：未達 | D1 2/3：量價配合
SNDK,NASDAQ:SNDK,Electronic technology,Computer peripherals,Sandisk Corporation,B,,False,2,0,2,2273.73,W1 2/3：量價配合 | D1 0/3：未達
SQM,NYSE:SQM,Process industries,Chemicals: specialty,Sociedad Quimica y Minera S.A.,B,,False,2,0,2,78.65,W1 2/3：量價配合 | D1 0/3：未達
ST,NYSE:ST,Electronic technology,Electronic equipment/Instruments,Sensata Technologies Holding plc,B,,False,0,2,2,51.7,W1 0/3：未達 | D1 2/3：量價配合
STM,NYSE:STM,Electronic technology,Semiconductors,STMicroelectronics N.V.,B,,False,2,0,2,79.91,W1 2/3：量價配合 | D1 0/3：未達
STRL,NASDAQ:STRL,Industrial services,Engineering & construction,"Sterling Infrastructure, Inc.",B,,False,0,2,2,932.75,W1 0/3：未達 | D1 2/3：量價配合
STX,NASDAQ:STX,Electronic technology,Computer peripherals,Seagate Technology Holdings PLC,B,,False,2,0,2,1094.04,W1 2/3：量價配合 | D1 0/3：未達
SWK,NYSE:SWK,Consumer durables,Tools & hardware,"Stanley Black & Decker, Inc.",B,,False,2,0,2,86.31,W1 2/3：MA轉上；跌K量低 | D1 0/3：未達
